iter	Logloss
0	0.6850567631
1	0.6763657776
2	0.6685112798
3	0.6620135699
4	0.6554649183
5	0.6495819351
6	0.6420032056
7	0.6365974441
8	0.6298648884
9	0.6237703054
10	0.6173500747
11	0.6102434444
12	0.6037733834
13	0.5979472037
14	0.5922706426
15	0.5867810756
16	0.58166932
17	0.5770688727
18	0.5722915965
19	0.5669737552
20	0.561875852
21	0.5569670724
22	0.5523606047
23	0.5477063516
24	0.5433806244
25	0.5384070308
26	0.5344484735
27	0.5299831651
28	0.526259495
29	0.5218631336
30	0.5174061799
31	0.5139175515
32	0.5099476826
33	0.5063125432
34	0.5031022667
35	0.4999965094
36	0.4968996625
37	0.4931375918
38	0.4894567283
39	0.4868073658
40	0.4842407956
41	0.4806629628
42	0.4773782886
43	0.4747539379
44	0.4723879523
45	0.4691366127
46	0.466474272
47	0.4640087513
48	0.4617502434
49	0.4603542024
50	0.4576882971
51	0.4556154949
52	0.4536986056
53	0.4517516054
54	0.4495250127
55	0.4478923528
56	0.445803752
57	0.4433314795
58	0.4413707924
59	0.4388708552
60	0.4365792672
61	0.4345902663
62	0.4328288441
63	0.4309018626
64	0.4295538387
65	0.4281080501
66	0.4258966195
67	0.4238789668
68	0.4218986658
69	0.4195497239
70	0.41801661
71	0.4158043015
72	0.414349925
73	0.4121673174
74	0.4108014134
75	0.4088773568
76	0.4074810224
77	0.4061873144
78	0.405264748
79	0.4038219406
80	0.4022604176
81	0.4009923278
82	0.3990389331
83	0.3978357437
84	0.396714894
85	0.3953509822
86	0.3939045621
87	0.3931689622
88	0.3920264778
89	0.3911043496
90	0.3899587303
91	0.3889123563
92	0.3873213096
93	0.3867176939
94	0.3854181101
95	0.3847501366
96	0.3834234639
97	0.3825375903
98	0.3816671535
99	0.3806939711
100	0.3800120842
101	0.378836119
102	0.3779725453
103	0.3766391401
104	0.3754746517
105	0.3740892785
106	0.3731528106
107	0.3721790464
108	0.3714535841
109	0.3704822252
110	0.3694446376
111	0.368393608
112	0.3675993386
113	0.3665603817
114	0.3657847825
115	0.3650431396
116	0.3643864199
117	0.3634960826
118	0.3623823418
119	0.3618849791
120	0.3610661271
121	0.3600195179
122	0.3592848466
123	0.358574404
124	0.3577303352
125	0.3569758848
126	0.3565600474
127	0.3560061802
128	0.3552357665
129	0.3545933266
130	0.353534064
131	0.3527255458
132	0.3520754462
133	0.3511849456
134	0.3501648875
135	0.3497548174
136	0.3493326884
137	0.3484783432
138	0.347882339
139	0.347700035
140	0.3469538418
141	0.3464109544
142	0.3461087756
143	0.3457111177
144	0.3449114384
145	0.3445710427
146	0.3442507716
147	0.3435339781
148	0.3432533708
149	0.3426614685
150	0.3423324576
151	0.3418018981
152	0.3413117105
153	0.3408024927
154	0.3404502613
155	0.3398886233
156	0.3393896717
157	0.3385717101
158	0.3379986839
159	0.337455855
160	0.3368129203
161	0.3360835504
162	0.3354234487
163	0.3350271457
164	0.3346190405
165	0.3341763229
166	0.3337999025
167	0.3332460662
168	0.3327744968
169	0.3321501723
170	0.3314564232
171	0.3309118183
172	0.3305062331
173	0.3302048228
174	0.3297494166
175	0.3295600214
176	0.3293104072
177	0.3289929444
178	0.328637311
179	0.3281105789
180	0.3278929542
181	0.3272076786
182	0.3268913351
183	0.3265214468
184	0.3263381082
185	0.3258221156
186	0.3254304449
187	0.3251943965
188	0.3248563946
189	0.3246735144
190	0.3243473003
191	0.3238749613
192	0.3231793236
193	0.3229315145
194	0.3227047632
195	0.3224336159
196	0.32189424
197	0.3216392576
198	0.3213444925
199	0.3210548676
200	0.3208480988
201	0.3205069194
202	0.3202153417
203	0.3198233323
204	0.3196006157
205	0.3189108198
206	0.3181765431
207	0.3179123792
208	0.3176571854
209	0.3172443023
210	0.3169480827
211	0.3166521987
212	0.3162405267
213	0.3159892205
214	0.3157256885
215	0.3153733624
216	0.3149182791
217	0.3146434279
218	0.3142302547
219	0.3138857333
220	0.3134506524
221	0.3131175595
222	0.3126939346
223	0.3123242224
224	0.3119011393
225	0.3113214538
226	0.3108383909
227	0.3105575479
228	0.3102326417
229	0.3099806785
230	0.3094746247
231	0.309196489
232	0.3088724535
233	0.3085413308
234	0.308331523
235	0.3079341804
236	0.307566059
237	0.3073227893
238	0.3070050214
239	0.3067716827
240	0.3061730956
241	0.3059148483
242	0.3057044067
243	0.3054366629
244	0.3051745068
245	0.3050634278
246	0.3048318961
247	0.3046936245
248	0.304514704
249	0.3042128669
250	0.3037527866
251	0.3035481144
252	0.3034405467
253	0.3032086612
254	0.3028822883
255	0.3025197512
256	0.3022921564
257	0.3020244498
258	0.3016700044
259	0.3016305707
260	0.3013217118
261	0.3011434255
262	0.3008673034
263	0.3007031795
264	0.300529305
265	0.3001282128
266	0.2999173901
267	0.2997230501
268	0.2996793278
269	0.2995290905
270	0.2992587643
271	0.2988263752
272	0.2987007165
273	0.2984847837
274	0.2982967991
275	0.2981511416
276	0.2978228653
277	0.2973158256
278	0.2969535499
279	0.2968024773
280	0.2965382335
281	0.296269167
282	0.2960802071
283	0.2958386107
284	0.2955184316
285	0.2953030051
286	0.2950542614
287	0.2948175252
288	0.2945202942
289	0.2943221251
290	0.2940445565
291	0.2939067229
292	0.2936735662
293	0.2934737119
294	0.2932347329
295	0.2928841512
296	0.2927134022
297	0.2924869203
298	0.2921301678
299	0.2919490407
